epoch;accuracy;loss;val_accuracy;val_loss
0;0.8414928;5.741332327641883;0.2631579;2.296604871749878
1;0.9989968;0.006850326291874201;0.42105263;3.1698238849639893
2;0.9997994;0.0005798612819704521;0.36842105;4.015908241271973
3;0.9998997;0.0001232869583109703;0.47368422;4.728321552276611
4;0.9998997;0.00015690983273721463;0.47368422;4.466696262359619
5;0.9998997;0.0022631228283979607;0.47368422;4.966913223266602
6;1.0;1.753791527362919e-07;0.47368422;5.9131903648376465
7;0.9997994;0.0005698471516284471;0.47368422;5.806909561157227
8;1.0;2.068126600286323e-06;0.36842105;6.808699607849121
9;1.0;7.749335955881005e-09;0.36842105;7.606357574462891
10;1.0;1.0763276198614852e-10;0.36842105;7.924325942993164
11;1.0;4.903260376640003e-10;0.42105263;7.740200519561768
12;1.0;2.1048074194923402e-09;0.42105263;7.9787116050720215
13;1.0;0.0;0.42105263;7.9751973152160645
14;1.0;3.4681482326620612e-09;0.36842105;8.883225440979004
15;1.0;0.0;0.36842105;8.882854461669922
16;1.0;0.0;0.36842105;8.881132125854492
17;1.0;0.0;0.36842105;8.858030319213867
18;1.0;0.0;0.36842105;8.82322883605957
19;1.0;3.803256155124767e-06;0.36842105;8.8767671585083
20;1.0;4.066122883374424e-10;0.36842105;9.534469604492188
21;1.0;3.587758946718749e-11;0.36842105;9.439745903015137
22;0.9998997;0.00048141024604339317;0.36842105;9.173834800720215
23;1.0;5.979598553421549e-11;0.36842105;9.456077575683594
24;1.0;3.7073480793229207e-10;0.36842105;9.86440658569336
25;1.0;1.1959197677102116e-11;0.36842105;9.924724578857422
26;1.0;0.0;0.36842105;9.92296028137207
27;1.0;0.0;0.36842105;9.9230318069458
28;1.0;0.0;0.36842105;9.919543266296387
29;1.0;0.0;0.36842105;9.917287826538086
30;1.0;2.391839392855669e-11;0.36842105;9.933684349060059
31;1.0;0.0;0.36842105;9.933287620544434
