epoch;accuracy;loss;val_accuracy;val_loss
0;0.9697031;0.1661277367593926;0.36842105;6.814172267913818
1;0.97221106;0.12867044358488836;0.31578946;3.8520796298980713
2;0.9757223;0.10000431780213039;0.36842105;4.731786727905273
3;0.98003614;0.08990113011951503;0.31578946;6.327455520629883
4;0.9876605;0.06338216352898662;0.36842105;6.94219970703125
5;0.98124;0.08876415532468003;0.42105263;5.533283233642578
6;0.9827448;0.08138675791103793;0.36842105;6.4775567054748535
7;0.9842496;0.08610899146239089;0.36842105;6.332369804382324
8;0.9875602;0.0649390807707927;0.31578946;7.8563456535339355
9;0.9879615;0.07234235715757671;0.2631579;8.853636741638184
10;0.9885634;0.062142509648301314;0.36842105;7.833043098449707
11;0.9874599;0.06977317699811042;0.36842105;7.206872463226318
12;0.9978933;0.014834979841887187;0.36842105;7.647437572479248
13;0.9989968;0.004291902416047303;0.31578946;8.611988067626953
14;0.9990971;0.008792622067470288;0.31578946;8.932002067565918
15;0.9991974;0.007411799821707874;0.31578946;9.445491790771484
16;0.9988965;0.005480729028972695;0.36842105;9.667607307434082
17;0.9985955;0.011186800661233832;0.36842105;9.872429847717285
18;0.9997994;0.001244369825499278;0.36842105;10.447285652160645
19;0.9991974;0.005383953403110716;0.31578946;10.74853515625
20;0.9989968;0.008323907950687333;0.36842105;10.528338432312012
21;0.9989968;0.005512102270897134;0.36842105;10.885201454162598
22;0.99929774;0.0037415054154343146;0.36842105;10.935355186462402
23;0.99929774;0.005700435179055982;0.36842105;10.92133903503418
24;0.99949837;0.004332069793247904;0.36842105;10.954010009765625
25;0.99949837;0.00333417221043165;0.36842105;11.044349670410156
26;0.99959874;0.0039054915839281173;0.36842105;11.049012184143066
27;0.9991974;0.005584048453128429;0.36842105;11.036450386047363
28;0.99959874;0.0022667732124777846;0.36842105;11.130674362182617
