epoch;accuracy;loss;val_accuracy;val_loss
0;0.75541735;48.29017935721479;0.36842105;11.9376802444458
1;0.97592294;0.857265348873785;0.36842105;10.659502983093262
2;0.992175;0.251748911504116;0.21052632;11.37165641784668
3;0.99558586;0.12069963960508484;0.31578946;12.256218910217285
4;0.99678975;0.0500304081546136;0.42105263;5.776315212249756
5;1.0;2.1660997915639762e-06;0.31578946;6.594462871551514
6;0.99929774;0.023131296867658083;0.31578946;15.741864204406738
7;1.0;1.6922149212838097e-08;0.21052632;11.139092445373535
8;1.0;1.1959197677102116e-11;0.2631579;11.360918998718262
9;1.0;2.3918395354204232e-11;0.31578946;11.404412269592285
10;1.0;0.0;0.31578946;10.4515962600708
11;1.0;0.0;0.31578946;10.487051010131836
12;0.9985955;0.013657715555347772;0.31578946;9.326920509338379
13;1.0;9.806537290791513e-10;0.47368422;8.82763957977295
14;1.0;2.3918395354204232e-11;0.42105263;8.341926574707031
15;1.0;0.0;0.42105263;8.268999099731445
16;1.0;0.0;0.42105263;8.27163028717041
17;1.0;0.0;0.42105263;8.264859199523926
18;1.0;0.0;0.42105263;8.295251846313477
19;1.0;0.0;0.42105263;8.286308288574219
20;1.0;0.0;0.42105263;8.278610229492188
21;1.0;0.0;0.42105263;8.381176948547363
22;1.0;0.0;0.42105263;8.138811111450195
23;1.0;0.0;0.42105263;8.139543533325195
24;1.0;1.1959197677102116e-11;0.42105263;8.041974067687988
25;1.0;0.0;0.42105263;8.052562713623047
26;1.0;0.0;0.42105263;8.052391052246094
27;1.0;0.0;0.42105263;8.13278865814209
28;1.0;0.0;0.42105263;8.188647270202637
29;1.0;0.0;0.42105263;8.1615571975708
30;1.0;0.0;0.42105263;8.161275863647461
