epoch;accuracy;loss;val_accuracy;val_loss
0;0.7958467;14.323351442410402;0.31578946;4.154323577880859
1;0.9990971;0.0029934782896882577;0.2631579;3.5902745723724365
2;0.99959874;0.0013807610691669238;0.2631579;9.4628267288208
3;1.0;4.285837986765606e-05;0.2631579;8.411564826965332
4;0.9997994;0.0005974507242442632;0.2631579;10.545451164245605
5;1.0;1.4625480095067374e-08;0.2631579;11.45030689239502
6;0.9997994;0.00045263619146818107;0.2631579;15.450549125671387
7;1.0;4.4570202909910176e-05;0.2631579;18.984758377075195
8;1.0;6.805322312963682e-05;0.2631579;17.70945167541504
9;1.0;0.00010863790530600457;0.2631579;19.905046463012695
10;1.0;7.522134330434636e-09;0.31578946;28.985370635986328
11;0.9997994;0.0011221559625316153;0.31578946;24.630895614624023
12;1.0;4.848797401044563e-08;0.31578946;26.21343421936035
13;1.0;4.416688593368652e-07;0.31578946;22.489561080932617
14;1.0;1.1959197677102116e-11;0.31578946;22.854097366333008
15;1.0;0.0;0.31578946;22.832599639892578
16;0.9998997;0.00015918352630913071;0.2631579;26.79034423828125
17;1.0;0.0;0.2631579;26.745769500732422
18;1.0;9.365019439227369e-08;0.2631579;28.122337341308594
19;1.0;0.0;0.2631579;28.034221649169922
20;1.0;4.185714297014666e-10;0.2631579;27.683988571166992
21;0.9998997;0.0010093831635920667;0.31578946;35.0414924621582
22;1.0;1.000872954985338e-06;0.31578946;38.49778366088867
23;1.0;1.4829296513776747e-09;0.31578946;34.16633224487305
24;1.0;4.066119689923927e-10;0.31578946;37.39253234863281
25;1.0;4.7836787144289605e-11;0.31578946;35.980037689208984
26;1.0;4.089963001411773e-09;0.31578946;34.107635498046875
27;1.0;2.6524902159587754e-06;0.31578946;36.553443908691406
28;0.9998997;0.00038539806012771255;0.31578946;38.93952560424805
