epoch;accuracy;loss;val_accuracy;val_loss
0;1.0;0.0;0.42105263;8.157146453857422
1;1.0;0.0;0.42105263;8.160263061523438
2;1.0;0.0;0.42105263;8.169858932495117
3;1.0;0.0;0.42105263;8.16694450378418
4;1.0;0.0;0.42105263;8.171148300170898
5;1.0;0.0;0.42105263;8.174644470214844
6;1.0;0.0;0.42105263;8.179787635803223
7;1.0;0.0;0.42105263;8.203666687011719
8;1.0;0.0;0.42105263;8.202964782714844
9;1.0;0.0;0.42105263;8.2046480178833
10;1.0;0.0;0.36842105;8.130846977233887
11;1.0;0.0;0.36842105;8.155157089233398
12;1.0;0.0;0.36842105;8.164779663085938
13;1.0;0.0;0.36842105;8.165245056152344
14;1.0;0.0;0.36842105;8.168729782104492
15;1.0;0.0;0.36842105;8.15694522857666
16;1.0;0.0;0.36842105;8.18288516998291
17;1.0;0.0;0.36842105;8.169837951660156
18;1.0;0.0;0.36842105;8.167498588562012
19;1.0;0.0;0.36842105;8.175945281982422
20;1.0;0.0;0.36842105;8.1788969039917
21;1.0;0.0;0.36842105;8.169422149658203
22;1.0;0.0;0.36842105;8.168973922729492
23;1.0;0.0;0.36842105;8.184110641479492
24;1.0;0.0;0.36842105;8.185742378234863
25;1.0;0.0;0.36842105;8.202893257141113
