epoch;accuracy;loss;val_accuracy;val_loss
0;0.77096707;55.55912191419801;0.47368422;10.385089874267578
1;0.9796348;0.6393580415140409;0.31578946;11.270350456237793
2;0.9919743;0.19136150757118123;0.36842105;10.519862174987793
3;0.9928772;0.14013085459125732;0.36842105;12.411867141723633
4;1.0;4.0605315721230825e-06;0.36842105;11.365235328674316
5;1.0;2.3918395354204232e-11;0.36842105;11.385459899902344
6;1.0;0.0;0.36842105;11.569238662719727
7;1.0;0.0;0.36842105;11.595495223999023
8;1.0;0.0;0.36842105;11.621227264404297
9;1.0;1.3035487253558898e-09;0.21052632;13.986909866333008
10;1.0;0.0;0.21052632;13.9017915725708
11;1.0;0.0;0.21052632;13.717759132385254
12;1.0;0.0;0.21052632;13.614447593688965
13;1.0;0.0;0.21052632;13.279608726501465
14;1.0;0.0;0.31578946;12.913379669189453
15;1.0;0.0;0.31578946;12.913281440734863
16;1.0;0.0;0.31578946;12.912365913391113
17;1.0;0.0;0.31578946;12.912861824035645
18;1.0;0.0;0.31578946;12.910612106323242
19;1.0;0.0;0.31578946;12.91016674041748
20;1.0;0.0;0.31578946;12.908625602722168
21;1.0;0.0;0.31578946;12.90856647491455
22;1.0;0.0;0.31578946;12.885830879211426
23;1.0;0.0;0.31578946;12.885666847229004
24;1.0;0.0;0.31578946;12.882911682128906
25;1.0;0.0;0.31578946;12.880983352661133
26;0.9998997;0.0006938723078891516;0.36842105;12.59734058380127
27;1.0;0.0;0.36842105;12.597342491149902
28;1.0;0.0;0.36842105;12.597355842590332
29;1.0;0.0;0.36842105;12.597426414489746
