epoch;accuracy;loss;val_accuracy;val_loss
0;0.84841496;4.584869299714891;0.42105263;2.793210983276367
1;0.9988965;0.004180796650009787;0.36842105;4.405966281890869
2;1.0;9.837707192186622e-07;0.36842105;6.512518882751465
3;1.0;1.2872487734985763e-07;0.31578946;7.551398754119873
4;0.9998997;0.0009825919292849883;0.36842105;6.870886325836182
5;1.0;8.61061071561428e-10;0.36842105;7.096388339996338
6;1.0;1.1959194398112765e-10;0.42105263;7.081310749053955
7;1.0;2.3918395354204232e-11;0.42105263;7.1138916015625
8;1.0;0.0;0.42105263;7.115666389465332
9;1.0;3.4800939743648226e-09;0.31578946;7.510303497314453
10;0.9998997;0.00012502040199417955;0.36842105;7.473996639251709
11;1.0;2.3918395354204232e-11;0.36842105;7.425787448883057
12;1.0;5.849993013139065e-08;0.31578946;7.425537109375
13;1.0;1.5786059814429559e-09;0.36842105;7.822678565979004
14;1.0;3.1452407997489755e-09;0.36842105;7.6283650398254395
15;1.0;3.5877593031306346e-11;0.36842105;7.880270481109619
16;1.0;2.3918395354204232e-11;0.36842105;7.955608367919922
17;1.0;8.371437518582955e-11;0.36842105;8.167008399963379
18;1.0;0.0;0.36842105;8.173961639404297
19;1.0;1.2243788431795393e-06;0.36842105;9.264225006103516
20;1.0;6.577537672720182e-10;0.31578946;9.509692192077637
21;1.0;5.979597983162531e-11;0.36842105;9.034411430358887
22;1.0;5.979598339574417e-11;0.36842105;8.939788818359375
23;1.0;0.0;0.36842105;8.940666198730469
24;1.0;0.0;0.36842105;8.940004348754883
25;1.0;1.7938781617636343e-10;0.36842105;8.74890422821045
26;1.0;4.783678928276092e-11;0.36842105;8.78173542022705
27;1.0;1.1959197677102116e-11;0.36842105;8.790266990661621
