epoch;accuracy;loss;val_accuracy;val_loss
0;1.0;0.0;0.36842105;16.01674461364746
1;1.0;0.0;0.36842105;16.017032623291016
2;1.0;0.0;0.36842105;16.01622772216797
3;1.0;0.0;0.36842105;16.017494201660156
4;1.0;0.0;0.36842105;16.01675796508789
5;1.0;0.0;0.36842105;16.016639709472656
6;1.0;0.0;0.36842105;16.016775131225586
7;1.0;0.0;0.36842105;16.017192840576172
8;1.0;0.0;0.36842105;16.017057418823242
9;1.0;0.0;0.36842105;16.01825523376465
10;1.0;0.0;0.36842105;16.017723083496094
11;1.0;0.0;0.36842105;16.017677307128906
12;1.0;0.0;0.36842105;16.016305923461914
13;1.0;0.0;0.36842105;16.016990661621094
14;1.0;0.0;0.36842105;16.015892028808594
15;1.0;0.0;0.36842105;16.016145706176758
16;1.0;0.0;0.36842105;16.016063690185547
17;1.0;0.0;0.36842105;16.011856079101562
18;1.0;0.0;0.36842105;16.01717758178711
19;1.0;0.0;0.36842105;16.017295837402344
20;1.0;0.0;0.36842105;16.01695442199707
21;1.0;0.0;0.36842105;16.01717185974121
22;1.0;0.0;0.36842105;16.01763916015625
23;1.0;0.0;0.36842105;16.01184844970703
24;1.0;0.0;0.36842105;16.01207160949707
25;1.0;0.0;0.36842105;16.01288414001465
